"Region, subregion, country or area *",1952,1957,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Togo,1441.915,1512.019,1612.761,1855.450,2247.578,2518.454,2915.618,3471.738,3945.902,4485.945,5197.040,5920.360
Algeria,9186.150,10253.777,11619.828,13275.020,15285.992,17582.899,20452.901,23774.287,27028.330,29742.980,31855.110,34166.976
Egypt,21473.792,24524.531,28112.258,32056.506,36102.670,40329.589,45539.295,51991.696,58666.812,64892.269,71485.044,78232.124
Libya,1163.890,1316.913,1550.815,1878.869,2327.487,2865.639,3480.443,4109.717,4650.896,5118.008,5531.097,5974.786
Morocco,9528.979,11212.230,13094.890,14954.037,16696.890,18620.087,20984.023,23447.256,25711.410,27754.573,29454.765,31163.670
Sudan,6041.332,6923.115,8004.122,9337.662,10974.626,13034.631,15562.129,18303.430,21696.240,25413.912,28704.786,32360.619
Tunisia,3772.929,4032.593,4305.477,4740.526,5291.335,5919.958,6740.520,7700.733,8613.855,9395.119,9871.261,10304.729
Western Sahara,17.575,24.841,38.854,63.119,73.477,101.182,168.057,195.439,231.731,272.843,363.225,462.210
Armenia,1418.275,1680.713,2009.524,2339.133,2650.484,2944.375,3193.696,3451.947,3442.820,3133.081,3033.976,2932.615
Azerbaijan,3060.014,3537.022,4171.428,4843.872,5385.266,5863.138,6349.555,6893.486,7471.924,7925.668,8277.065,8724.237
Bahrain,119.590,145.107,173.140,196.060,229.151,303.169,385.953,448.981,523.082,594.927,735.140,1035.924
Cyprus,506.630,549.465,577.696,591.301,628.002,665.521,691.716,723.384,800.610,891.190,976.968,1063.708
Georgia,3588.631,3818.856,4148.733,4521.715,4793.558,4927.251,5085.141,5327.496,5303.925,4709.596,4258.573,4166.860
Iraq,6065.011,6795.398,7674.217,8947.397,10599.661,12462.059,14432.466,16257.072,18402.740,21439.579,24931.922,27911.242
Israel,1435.825,1839.371,2234.199,2619.102,2996.475,3472.118,3838.109,4167.130,4752.826,5566.551,6169.311,6847.148
Jordan,576.275,779.111,1010.647,1378.995,1883.923,2179.361,2563.525,3131.800,3977.667,4848.536,5317.514,6255.290
Kuwait,162.804,204.890,337.346,577.164,851.918,1153.573,1507.636,1938.916,1912.425,1710.257,2136.991,2504.026
Lebanon,1392.730,1637.130,1925.295,2174.732,2417.837,2601.734,2606.148,2667.957,3076.133,3658.425,4182.205,4767.347
Oman,469.346,516.468,578.827,660.117,776.385,977.804,1290.121,1619.871,1983.272,2249.759,2334.860,2657.162
Qatar,29.872,39.451,56.266,86.298,130.505,182.319,277.229,422.154,495.403,535.320,640.872,1218.441
Saudi Arabia,3283.593,3751.798,4362.788,5195.124,6392.973,8207.695,10988.851,14445.663,17282.686,19407.138,21805.322,25184.589
State of Palestine,932.068,1018.477,1128.577,1165.752,1182.426,1400.121,1600.956,1879.750,2287.676,2872.006,3380.161,3756.459
Syrian Arab Republic,3591.003,4158.978,4875.429,5740.702,6800.148,8060.652,9590.226,11360.848,13187.669,15175.308,17084.628,19878.257
Turkey,22508.952,25514.825,28832.831,32477.994,36587.267,41108.290,46025.411,51100.930,55748.946,60372.571,65145.357,69581.854
United Arab Emirates,69.235,82.963,112.112,169.768,330.968,735.347,1164.816,1533.526,2052.892,2671.361,3478.769,6168.846
Yemen,4776.184,5099.348,5473.671,5907.873,6390.573,7178.672,8541.605,10322.044,12954.157,15975.676,18443.684,21282.514
Kazakhstan,7006.641,8702.076,10756.931,12385.706,13463.985,14359.629,15128.090,16039.253,16302.809,15406.005,14976.184,15702.112
Kyrgyzstan,1795.141,1994.559,2319.450,2736.074,3105.533,3414.330,3757.168,4158.584,4454.192,4705.651,4991.478,5184.384
Tajikistan,1637.950,1901.776,2236.564,2662.257,3111.284,3586.516,4140.297,4843.997,5502.490,5938.404,6426.861,7062.667
Turkmenistan,1258.381,1452.178,1715.408,2011.762,2324.019,2664.262,3019.064,3407.310,3899.843,4355.125,4610.018,4870.142
Uzbekistan,6667.892,7736.860,9113.629,10889.499,12796.982,14643.881,16747.428,18976.411,21375.114,23640.487,25431.116,27204.711
Afghanistan,7935.996,8535.157,9351.442,10399.936,11791.222,13171.294,12882.518,11604.538,14485.543,19357.126,22600.774,27100.542
Bangladesh,39489.861,44233.217,50752.150,59034.250,66625.706,73463.593,83932.132,95671.159,107983.708,120160.571,132478.077,142660.381
Bhutan,184.759,207.197,234.552,269.944,316.822,371.424,428.938,494.313,534.525,551.713,616.025,664.873
India,388799.076,425270.709,469077.191,520400.577,581087.255,652408.766,732239.498,819682.095,909307.018,1000900.028,1093317.187,1183209.471
Iran (Islamic Republic of),17933.502,20288.542,23071.309,26317.776,30075.295,34803.041,41869.231,51193.782,58780.376,63136.309,67284.801,71336.476
Maldives,75.190,83.418,94.902,107.481,123.347,144.625,169.849,203.024,236.271,263.836,294.185,335.172
Nepal,8834.698,9629.865,10433.147,11382.965,12583.142,14028.535,15729.431,17623.697,19938.322,22584.772,24725.625,26382.586
Pakistan,38516.514,42111.011,47198.886,53655.783,61381.982,70958.168,83431.597,98285.762,113911.126,131057.432,149549.695,167808.106
Sri Lanka,8256.559,9190.652,10352.180,11657.650,13002.234,14273.495,15501.210,16643.956,17736.827,18470.897,19062.476,19842.044
China,582576.497,630677.648,682102.654,762581.176,869485.962,957891.271,1027948.989,1116095.475,1206711.243,1261996.017,1307352.256,1345993.891
"China, Hong Kong SAR",2150.095,2709.845,3230.300,3624.973,3974.193,4462.399,5058.049,5464.705,5864.745,6299.912,6701.771,6840.017
"China, Macao SAR",201.268,176.752,176.188,223.416,248.770,236.669,251.154,308.181,362.308,401.353,448.813,504.504
"China, Taiwan Province of China",8250.801,9829.714,11655.382,13743.215,15586.149,17043.397,18477.501,19806.742,20868.148,21608.309,22262.297,22927.222
Dem. People's Republic of Korea,10049.020,10547.385,11871.726,13222.703,15207.765,16796.568,18008.568,19431.992,20937.407,22335.263,23339.453,24188.330
Japan,85659.438,90953.812,95458.517,100822.283,107976.030,114827.826,119605.254,123072.720,125331.300,126892.745,127893.075,128494.050
Mongolia,807.922,890.281,1011.327,1173.186,1356.673,1562.207,1777.727,2033.351,2243.495,2335.744,2443.261,2593.819
