"Region, subregion, country or area *",1952,1957,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Austria,6931.194,6985.724,7156.836,7397.168,7581.120,7636.573,7602.177,7639.351,7830.938,8032.873,8134.403,8313.731
Belgium,8727.988,8997.845,9283.545,9529.046,9692.845,9816.693,9889.819,9942.281,10078.098,10223.785,10364.879,10697.576
France,42315.598,44221.224,46907.043,49651.080,51573.268,53208.549,54391.469,55837.622,57147.213,58220.657,59803.434,61869.229
Germany,70620.275,72183.453,74489.450,77357.251,78901.826,78687.323,77926.016,78015.742,79963.166,81399.250,81535.124,81277.836
Liechtenstein,14.135,15.429,17.300,19.688,22.161,24.451,26.533,27.835,29.552,31.830,33.885,35.217
Luxembourg,299.500,308.562,320.699,334.234,345.104,358.963,365.099,371.076,391.397,419.979,443.727,474.917
Monaco,19.082,20.788,23.043,23.292,24.049,25.811,27.633,29.156,29.859,31.268,32.804,34.524
Netherlands,10297.986,10996.626,11766.730,12556.841,13291.876,13892.920,14295.209,14682.662,15165.856,15655.482,16110.355,16506.652
Switzerland,4781.123,5067.973,5487.049,5973.940,6251.286,6321.816,6321.409,6510.593,6792.906,7068.503,7220.378,7536.986
Bermuda,38.437,42.370,46.815,50.785,53.750,56.318,58.390,60.422,62.391,64.092,65.652,66.126
Canada,14445.453,16561.263,18596.848,20324.786,22072.193,23634.377,24916.538,26432.894,28224.410,29742.378,31178.260,32930.795
Greenland,23.936,27.733,33.731,41.362,48.066,49.846,51.155,54.371,55.857,55.873,56.518,56.928
Saint Pierre and Miquelon,4.648,4.841,5.041,5.297,5.753,6.103,6.067,6.148,6.435,6.366,6.207,6.220
United States of America,163266.026,177751.477,192313.747,203905.081,213269.805,223135.659,233821.851,245052.780,256990.608,271713.634,287279.312,300608.425
